98,"(585, 42, 10, 'St1028x', 'St1028x', 'St1x = F1 from StNY001 x St52B')"
99,"(585, 42, 10, 'St1029x', 'St1029x', 'St1x = F1 from StNY001 x St52B')"
100,"(585, 42, 10, 'St1030x', 'St1030x', 'St1x = F1 from StNY001 x St52B')"
101,"(585, 42, 10, 'St1031x', 'St1031x', 'St1x = F1 from StNY001 x St52B')"
102,"(585, 42, 10, 'St1032x', 'St1032x', 'St1x = F1 from StNY001 x St52B')"
103,"(585, 42, 10, 'St1033x', 'St1033x', 'St1x = F1 from StNY001 x St52B')"
104,"(585, 42, 10, 'St1034x', 'St1034x', 'St1x = F1 from StNY001 x St52B')"
105,"(585, 42, 10, 'St1035x', 'St1035x', 'St1x = F1 from StNY001 x St52B')"
106,"(585, 42, 10, 'St1036x', 'St1036x', 'St1x = F1 from StNY001 x St52B')"
107,"(585, 42, 10, 'St1037x', 'St1037x', 'St1x = F1 from StNY001 x St52B')"
108,"(585, 42, 10, 'St1038x', 'St1038x', 'St1x = F1 from StNY001 x St52B')"
109,"(585, 42, 10, 'St1039x', 'St1039x', 'St1x = F1 from StNY001 x St52B')"
110,"(585, 42, 10, 'St1040x', 'St1040x', 'St1x = F1 from StNY001 x St52B')"
111,"(585, 42, 10, 'St1041x', 'St1041x', 'St1x = F1 from StNY001 x St52B')"
112,"(585, 42, 10, 'St1042x', 'St1042x', 'St1x = F1 from StNY001 x St52B')"
113,"(585, 42, 10, 'St1043x', 'St1043x', 'St1x = F1 from StNY001 x St52B')"
114,"(585, 42, 10, 'St1044x', 'St1044x', 'St1x = F1 from StNY001 x St52B')"
115,"(585, 42, 10, 'St1045x', 'St1045x', 'St1x = F1 from StNY001 x St52B')"
116,"(585, 42, 10, 'St1046x', 'St1046x', 'St1x = F1 from StNY001 x St52B')"
117,"(585, 42, 10, 'St1047x', 'St1047x', 'St1x = F1 from StNY001 x St52B')"
118,"(585, 42, 10, 'St1048x', 'St1048x', 'St1x = F1 from StNY001 x St52B')"
119,"(585, 42, 10, 'St1049x', 'St1049x', 'St1x = F1 from StNY001 x St52B')"
120,"(585, 42, 10, 'St1050x', 'St1050x', 'St1x = F1 from StNY001 x St52B')"
121,"(585, 42, 10, 'St1051x', 'St1051x', 'St1x = F1 from StNY001 x St52B')"
122,"(585, 42, 10, 'St1052x', 'St1052x', 'St1x = F1 from StNY001 x St52B')"
123,"(585, 42, 10, 'St1053x', 'St1053x', 'St1x = F1 from StNY001 x St52B')"
124,"(585, 42, 10, 'St1054x', 'St1054x', 'St1x = F1 from StNY001 x St52B')"
125,"(585, 42, 10, 'St1055x', 'St1055x', 'St1x = F1 from StNY001 x St52B')"
126,"(585, 42, 10, 'St1056x', 'St1056x', 'St1x = F1 from StNY001 x St52B')"
127,"(585, 42, 10, 'St1057x', 'St1057x', 'St1x = F1 from StNY001 x St52B')"
128,"(585, 42, 10, 'St1058x', 'St1058x', 'St1x = F1 from StNY001 x St52B')"
129,"(585, 42, 10, 'St1059x', 'St1059x', 'St1x = F1 from StNY001 x St52B')"
130,"(585, 42, 10, 'St1060x', 'St1060x', 'St1x = F1 from StNY001 x St52B')"
131,"(585, 42, 10, 'St1061x', 'St1061x', 'St1x = F1 from StNY001 x St52B')"
132,"(585, 42, 10, 'St1062x', 'St1062x', 'St1x = F1 from StNY001 x St52B')"
133,"(585, 42, 10, 'St1063x', 'St1063x', 'St1x = F1 from StNY001 x St52B')"
134,"(585, 42, 10, 'St1064x', 'St1064x', 'St1x = F1 from StNY001 x St52B')"
135,"(585, 42, 10, 'St1065x', 'St1065x', 'St1x = F1 from StNY001 x St52B')"
