"('07JR0006_093s', '07JR0006_093', '07JR0006', '07JR', '07JR6093', 'JK07-P6-093', 'JK07-P6-093', 'self', 'NULL', 'NULL', 'NULL', 'B73_32-24-5-293', 'NULL', '1', 'NULL', '32-24.5_B73@\xa0source:FL05_06row337.7', 'NULL', 'NULL')"
"('07PN0031_001s', '07PN0031_001', '07PN0031', '07PN', '07N31', '07N31', 'NULL', 'sib', '07PN0031_001', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0031_001s', '07PN0031_001', '07PN0031', '07PN', '07N31', '07N31', 'NULL', 'sib', '07PN0031_001', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('05RW0385_005s', '05RW0385_005', '05RW0385', '05RW', 'NULL', '385', 'NULL', 'self', 'NULL', 'NULL', 'NULL', 'B73_[21-14]_05', 'NULL', '15', 'NULL', 'P29_Et3(F2s)', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
"('07PN0027_001b', '07PN0027_001', '07PN0027', '07PN', '07N27', '07N27', 'NULL', 'sib', '07PN0027_999', 'NULL', 'NULL', 'B73', 'NULL', '3', 'NULL', 'NULL', 'NULL', 'NULL')"
