53,"(54, 5, 54, '06FL0432', 'JP057', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P30_Et4_F2s')"
54,"(55, 5, 55, '06FL0433', 'JP058', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P30_Et4_F2s')"
55,"(56, 5, 56, '06FL0434', 'JP059', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P30_Et4_F2s')"
56,"(57, 5, 57, '06FL0435', 'JP060', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P30_Et4_F2s')"
57,"(58, 5, 58, '06FL0436', 'JP061', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
58,"(59, 5, 59, '06FL0437', 'JP062', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
59,"(60, 5, 60, '06FL0438', 'JP063', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
60,"(61, 5, 61, '06FL0439', 'JP064', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
61,"(62, 5, 62, '06FL0440', 'JP065', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
62,"(63, 5, 63, '06FL0441', 'JP066', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
63,"(64, 5, 64, '06FL0442', 'JP067', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
64,"(65, 5, 65, '06FL0443', 'JP068', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
65,"(66, 5, 66, '06FL0444', 'JP069', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
66,"(67, 5, 67, '06FL0445', 'JP070', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
67,"(68, 5, 68, '06FL0446', 'JP071', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
68,"(69, 5, 69, '06FL0447', 'JP072', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
69,"(70, 5, 70, '06FL0448', 'JP073', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
70,"(71, 5, 71, '06FL0449', 'JP074', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
71,"(72, 5, 72, '06FL0450', 'JP075', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
72,"(73, 5, 73, '06FL0451', 'JP076', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
73,"(74, 5, 74, '06FL0452', 'JP077', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P29_Et4_F2s')"
74,"(75, 5, 75, '06FL0453', 'JP078', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
75,"(76, 5, 76, '06FL0454', 'JP079', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
76,"(77, 5, 77, '06FL0455', 'JP080', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
77,"(78, 5, 78, '06FL0456', 'JP081', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
78,"(79, 5, 79, '06FL0457', 'JP082', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
79,"(80, 5, 80, '06FL0458', 'JP083', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
80,"(81, 5, 81, '06FL0459', 'JP084', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
81,"(82, 5, 82, '06FL0460', 'JP085', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
82,"(83, 5, 83, '06FL0461', 'JP086', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
83,"(84, 5, 84, '06FL0462', 'JP087', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
84,"(85, 5, 85, '06FL0463', 'JP088', 'NULL', 'NULL', 'NULL', 'NULL', '7', u'', u'', 'Purpose: NULL || Notes: P28_Et4_F2s')"
