08SC1018,NULL,08SC,198,NULL,NULL,07A1222,2,9,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1019,NULL,08SC,73,NULL,NULL,07FL356,2,10,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1020,NULL,08SC,78,NULL,NULL,07FL358,2,10,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1021,NULL,08SC,97,NULL,NULL,07A3422,2,11,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1022,NULL,08SC,111,NULL,NULL,07A1697,2,11,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1023,NULL,08SC,167,NULL,NULL,06A0143,2,12,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1024,NULL,08SC,153,NULL,NULL,07FL402,2,12,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1025,NULL,08SC,110,NULL,NULL,07A3531,2,13,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1026,NULL,08SC,181,NULL,NULL,07A3337,2,13,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1027,NULL,08SC,38,NULL,NULL,07A2990,2,14,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1028,NULL,08SC,145,NULL,NULL,07A3537,2,14,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1029,NULL,08SC,26,NULL,NULL,07FL325,2,15,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1030,NULL,08SC,121,NULL,NULL,07FL380,2,15,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1031,NULL,08SC,157,NULL,NULL,07FL404,2,16,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1032,NULL,08SC,93,NULL,NULL,07FL369,2,16,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1033,NULL,08SC,83,NULL,NULL,07A4816,2,17,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1034,NULL,08SC,154,NULL,NULL,07A2011,2,17,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1035,NULL,08SC,141,NULL,NULL,07A3373,2,18,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1036,NULL,08SC,43,NULL,NULL,07FL335,2,18,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1037,NULL,08SC,69,NULL,NULL,07FL354,2,19,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1038,NULL,08SC,194,NULL,NULL,07FL425,2,19,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1039,NULL,08SC,20,NULL,NULL,07FL321,2,20,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1040,NULL,08SC,170,NULL,NULL,07A4770,2,20,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1041,NULL,08SC,173,NULL,NULL,07FL414,2,21,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1042,NULL,08SC,134,NULL,NULL,07A0821,2,21,NULL,NULL,10,B73؃ML322 RIL,NULL,sib/self,(B73؃ML322)S5,8
08SC1043,NULL,08SC,9,NULL,NULL,07FL316,2,22,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
08SC1044,NULL,08SC,40,NULL,NULL,07FL333,2,22,NULL,NULL,10,B73؃ML322 RIL,NULL,NULL,(B73؃ML322)S5,8
