12CH0028,NULL,12CH,NULL,NULL,UFMu-02306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0029,NULL,12CH,NULL,NULL,UFMu-02492,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0030,NULL,12CH,NULL,NULL,UFMu-02540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0031,NULL,12CH,NULL,NULL,UFMu-02596,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0032,NULL,12CH,NULL,NULL,UFMu-02602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0033,NULL,12CH,NULL,NULL,UFMu-02672,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0034,NULL,12CH,NULL,NULL,UFMu-02693,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0035,NULL,12CH,NULL,NULL,UFMu-02731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0036,NULL,12CH,NULL,NULL,UFMu-02750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0037,NULL,12CH,NULL,NULL,UFMu-02757,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0038,NULL,12CH,NULL,NULL,UFMu-02776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0039,NULL,12CH,NULL,NULL,UFMu-02860,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0040,NULL,12CH,NULL,NULL,UFMu-02871,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0041,NULL,12CH,NULL,NULL,UFMu-03016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0042,NULL,12CH,NULL,NULL,UFMu-03115,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0043,NULL,12CH,NULL,NULL,UFMu-03184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0044,NULL,12CH,NULL,NULL,UFMu-03287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
12CH0045,NULL,12CH,NULL,NULL,UFMu-03290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,self,NULL,34
