07PN0007_004x,07PN0007_004,07PN0007,07PN,07N07.04,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-24,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_005x,07PN0007_005,07PN0007,07PN,07N07.05,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-25,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_006x,07PN0007_006,07PN0007,07PN,07N07.06,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_007x,07PN0007_007,07PN0007,07PN,07N07.07,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_009x,07PN0007_009,07PN0007,07PN,07N07.09,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-29,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_010x,07PN0007_010,07PN0007,07PN,07N07.10,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-30,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_011x,07PN0007_011,07PN0007,07PN,07N07.11,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-31,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_012x,07PN0007_012,07PN0007,07PN,07N07.12,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-32,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_013x,07PN0007_013,07PN0007,07PN,07N07.13,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-33,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_014x,07PN0007_014,07PN0007,07PN,07N07.14,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-34,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0007_015x,07PN0007_015,07PN0007,07PN,07N07.15,07N07,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-2-35,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_001x,07PN0008_001,07PN0008,07PN,07N08.01,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-21,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_002x,07PN0008_002,07PN0008,07PN,07N08.02,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-22,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_003x,07PN0008_003,07PN0008,07PN,07N08.03,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-23,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_004x,07PN0008_004,07PN0008,07PN,07N08.04,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-24,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_005x,07PN0008_005,07PN0008,07PN,07N08.05,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-25,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_006x,07PN0008_006,07PN0008,07PN,07N08.06,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-26,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
07PN0008_007x,07PN0008_007,07PN0008,07PN,07N08.07,07N08,NULL,cross,07PN0002,B73,NULL,B73//B73/[32-24]-3-27,NULL,3,NULL,P30_Et4 [32-24] BC1,NULL,NULL
