09CR0061,TBBC3_38_11E,09CR,TBBC3 NIL,NULL,08FL0046_001s,TBBC3_38_11E,NULL,NULL,5,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0062,TBBC3_39_08F,09CR,TBBC3 NIL,NULL,08FL0049_001s,TBBC3_39_08F,NULL,NULL,5,2,10,NULL,NULL,Rust,qEt1.06Tx303,34
09CR0063,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,5,2,10,NULL,NULL,Rust,Control,34
09CR0064,TBBC3_42_05H_01,09CR,TBBC3 NIL,NULL,08FL0054_001s,TBBC3_42_05H_01,NULL,NULL,5,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0065,TBBC3_42_06F_02,09CR,TBBC3 NIL,NULL,08FL0056_001s,TBBC3_42_06F_02,NULL,NULL,5,2,10,NULL,NULL,Rust,qEt1.02B73,34
09CR0066,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,5,2,10,NULL,NULL,Rust,Control,34
09CR0067,qEt8.06DK888,09CR,[DK888] 1851_1_2_2_06A_30204C,NULL,08CF2005_021s,[DK888] 1851_1_2_2_06A_30204C,NULL,NULL,NULL,2,10,NULL,NULL,Rust,qEt8.06DK888,34
09CR0068,qEt8.06S11,09CR,[DK888] 1851_1_2_2_06A_30201H,NULL,08CF2005_002s,[DK888] 1851_1_2_2_06A_30201H,NULL,NULL,NULL,2,10,NULL,NULL,Rust,qEt8.06S11,34
09CR0069,DK888,09CR,DK888,NULL,NCRPIS Ames 23669,DK888,NULL,NULL,NULL,2,10,NULL,NULL,Rust,control,34
09CR0070,B73,09CR,B73,NULL,08PN0305_000b,B73,NULL,NULL,NULL,2,10,NULL,NULL,Rust,control,34
