09JH0004_006s,09JH0004_006,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_007s,09JH0004_007,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_008s,09JH0004_008,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_009s,09JH0004_009,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_010s,09JH0004_010,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_011s,09JH0004_011,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_012s,09JH0004_012,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_013s,09JH0004_013,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_014s,09JH0004_014,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_015s,09JH0004_015,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0004_016s,09JH0004_016,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML228)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_001s,09JH0005_001,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_002s,09JH0005_002,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_003s,09JH0005_003,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_004s,09JH0005_004,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_005s,09JH0005_005,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_006s,09JH0005_006,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_007s,09JH0005_007,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_008s,09JH0005_008,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_009s,09JH0005_009,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_010s,09JH0005_010,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_011s,09JH0005_011,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_012s,09JH0005_012,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
09JH0005_013s,09JH0005_013,NOID,09JH,NULL,NULL,NULL,NULL,NULL,NULL,NULL,(B73×CML333)S5,NULL,31,NULL,NULL,NULL,NULL
