08FL0038,NULL,08FL,(B73؃ML322)S5 RIL #161,NULL,NULL,07A5158,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0039,NULL,08FL,(B73؃ML322)S5 RIL #162,NULL,NULL,07A2447 or 06A0179,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0040,NULL,08FL,(B73؃ML322)S5 RIL #175,NULL,NULL,07A2201,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0041,NULL,08FL,(B73؃ML322)S5 RIL #180,NULL,NULL,06A0025,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0042,NULL,08FL,(B73؃ML322)S5 RIL #182,NULL,NULL,07A5193,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0043,NULL,08FL,(B73؃ML322)S5 RIL #196,NULL,NULL,07A5114,NULL,NULL,NULL,NULL,20,NULL,NULL,sib 2-3,NULL,8
08FL0044,CC_01,08FL,[TBBC3] TBBC3_38_05F,NULL,NULL,CC07_T_137-148,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0045,CC_02,08FL,[TBBC3] TBBC3_38_07H,NULL,NULL,CC07_T_137-148,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0046,CC_03,08FL,[TBBC3] TBBC3_38_11E,NULL,NULL,CC07_T_137-148,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0047,CC_04,08FL,[TBBC3] TBBC3_38_16G,NULL,NULL,CC07_T_137-148,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0048,CC_05,08FL,[TBBC3] TBBC3_38_18A,NULL,NULL,CC07_T_137-148,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0049,CC_06,08FL,[TBBC3] TBBC3_39_08F,NULL,NULL,CC07_T_112-123,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
08FL0050,CC_07,08FL,[TBBC3] TBBC3_39_09F,NULL,NULL,CC07_T_112-123,NULL,NULL,NULL,NULL,20,NULL,NULL,Self 4,NULL,2
