08PT0072_001x,08PT0072_001,08PT0072,08PT,B73,NULL,NULL,backcross,08PT0064_004,07PR140101A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0105_001x,08PT0105_001,08PT0105,08PT,B73,NULL,NULL,backcross,08PT0109_001,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0105_002x,08PT0105_002,08PT0105,08PT,B73,NULL,NULL,backcross,08PT0109_004,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0109_001s,08PT0109_001,08PT0109,08PT,NULL,NULL,NULL,self,08PT0109_001,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0109_002s,08PT0109_002,08PT0109,08PT,NULL,NULL,NULL,self,08PT0109_002,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0109_003s,08PT0109_003,08PT0109,08PT,NULL,NULL,NULL,self,08PT0109_003,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0109_004s,08PT0109_004,08PT0109,08PT,NULL,NULL,NULL,self,08PT0109_004,07PR141901A,NULL,(B73xAmes 21889)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0112_001x,08PT0112_001,08PT0112,08PT,B73,NULL,NULL,backcross,08PT0109_002,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0112_002x,08PT0112_002,08PT0112,08PT,B73,NULL,NULL,backcross,08PT0109_003,07PR141901A,NULL,(B73xAmes 21889)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0155_001x,08PT0155_001,08PT0155,08PT,B73,NULL,NULL,backcross,08PT0419_004,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0168_001x,08PT0168_001,08PT0168,08PT,B73,NULL,NULL,backcross,08PT0419_001,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0168_002x,08PT0168_002,08PT0168,08PT,B73,NULL,NULL,backcross,08PT0419_004,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0168_003x,08PT0168_003,08PT0168,08PT,B73,NULL,NULL,backcross,08PT0445_002,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0168_004x,08PT0168_004,08PT0168,08PT,B73,NULL,NULL,backcross,08PT0445_004,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0419_001s,08PT0419_001,08PT0419,08PT,NULL,NULL,NULL,self,08PT0419_001,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0419_002s,08PT0419_002,08PT0419,08PT,NULL,NULL,NULL,self,08PT0419_002,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0419_003s,08PT0419_003,08PT0419,08PT,NULL,NULL,NULL,self,08PT0419_003,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0419_004s,08PT0419_004,08PT0419,08PT,NULL,NULL,NULL,self,08PT0419_004,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0436_001x,08PT0436_001,08PT0436,08PT,B73,NULL,NULL,backcross,08PT0419_003,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0436_002x,08PT0436_002,08PT0436,08PT,B73,NULL,NULL,backcross,08PT0445_001,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0444_001x,08PT0444_001,08PT0444,08PT,B73,NULL,NULL,backcross,08PT0445_003,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0445_001s,08PT0445_001,08PT0445,08PT,NULL,NULL,NULL,self,08PT0445_001,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0445_002s,08PT0445_002,08PT0445,08PT,NULL,NULL,NULL,self,08PT0445_002,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0445_003s,08PT0445_003,08PT0445,08PT,NULL,NULL,NULL,self,08PT0445_003,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0445_004s,08PT0445_004,08PT0445,08PT,NULL,NULL,NULL,self,08PT0445_004,07PR172301A,NULL,(B73xAmes 21789)BC4S3,NULL,10,NULL,NULL,NULL,NULL
08PT0448_001x,08PT0448_001,08PT0448,08PT,B73,NULL,NULL,backcross,08PT0445_004,07PR172301A,NULL,(B73xAmes 21789)BC4S2_BC1,NULL,10,NULL,NULL,NULL,NULL
08PT0532_001x,08PT0532_001,08PT0532,08PT,B73,NULL,NULL,cross,08PN0300_001,[22-131],NULL,B73/[22-131],NULL,3,NULL,[22-131]  B73  P29_Et4 F1,NULL,NULL
08PT0550_001x,08PT0550_001,08PT0550,08PT,B73,NULL,NULL,cross,08PN0302_004,[22-156],NULL,B73/[22-156],NULL,3,NULL,[22-156]  B73  P29_Et4 F1,NULL,NULL
08PT0585_001x,08PT0585_001,08PT0585,08PT,B73,NULL,NULL,cross,08PN0302_004,[22-156],NULL,B73/[22-156],NULL,3,NULL,[22-156]  B73  P29_Et4 F1,NULL,NULL
08PT0585_002x,08PT0585_002,08PT0585,08PT,B73,NULL,NULL,cross,08PN0302_008,[22-160],NULL,B73/[22-160],NULL,3,NULL,[22-160]  B73  P29_Et4 F1,NULL,NULL
08PT0587_001x,08PT0587_001,08PT0587,08PT,B73,NULL,NULL,cross,08PN0298_008,[22-118],NULL,B73/[22-118],NULL,3,NULL,[22-118]  B73  P29_Et4 F1,NULL,NULL
