09BD0124_001b,NULL,09BD0124,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Oh43,NULL,31,NULL,NULL,NULL,NULL
09BD0125_001b,NULL,09BD0125,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,K64,NULL,31,NULL,NULL,NULL,NULL
09BD0133_001b,NULL,09BD0133,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC310,NULL,31,NULL,NULL,NULL,NULL
09BD0134_001b,NULL,09BD0134,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Va35,NULL,31,NULL,NULL,NULL,NULL
09BD0137_001b,NULL,09BD0137,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC338,NULL,31,NULL,NULL,NULL,NULL
09BD0143_001b,NULL,09BD0143,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,MS153,NULL,31,NULL,NULL,NULL,NULL
09BD0148_001b,NULL,09BD0148,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A680,NULL,31,NULL,NULL,NULL,NULL
09BD0150_001b,NULL,09BD0150,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,VaW6,NULL,31,NULL,NULL,NULL,NULL
09BD0151_001b,NULL,09BD0151,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CM105,NULL,31,NULL,NULL,NULL,NULL
09BD0156_001b,NULL,09BD0156,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,A239,NULL,31,NULL,NULL,NULL,NULL
09BD0160_001b,NULL,09BD0160,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NC318,NULL,31,NULL,NULL,NULL,NULL
09BD0163_001b,NULL,09BD0163,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,F6,NULL,31,NULL,NULL,NULL,NULL
09BD0164_001b,NULL,09BD0164,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CML92,NULL,31,NULL,NULL,NULL,NULL
09BD0172_001b,NULL,09BD0172,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4226,NULL,31,NULL,NULL,NULL,NULL
09BD0174_001b,NULL,09BD0174,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SC357,NULL,31,NULL,NULL,NULL,NULL
09BD0180_001b,NULL,09BD0180,09BD,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Va85,NULL,31,NULL,NULL,NULL,NULL
