10TF2294_004s,10TF2294_004,10TF2294,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2306_004s,10TF2306_004,10TF2306,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2306_005s,10TF2306_005,10TF2306,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2306_007s,10TF2306_007,10TF2306,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2315_001s,10TF2315_001,10TF2315,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2315_003s,10TF2315_003,10TF2315,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2315_007s,10TF2315_007,10TF2315,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2358_001s,10TF2358_001,10TF2358,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2358_006s,10TF2358_006,10TF2358,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2358_007s,10TF2358_007,10TF2358,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2372_004s,10TF2372_004,10TF2372,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2372_008s,10TF2372_008,10TF2372,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2376_006s,10TF2376_006,10TF2376,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2376_007s,10TF2376_007,10TF2376,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2376_008s,10TF2376_008,10TF2376,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2378_001s,10TF2378_001,10TF2378,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2378_004s,10TF2378_004,10TF2378,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2378_006s,10TF2378_006,10TF2378,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2378_007s,10TF2378_007,10TF2378,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2399_004s,10TF2399_004,10TF2399,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2414_004s,10TF2414_004,10TF2414,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TF2458_001s,10TF2458_001,10TF2458,10TF,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
