09SC0017,NULL,09SC,Z006E0173,NULL,07FL0414_000b,07FL414,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0018,NULL,09SC,83,NULL,08SC1033_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0019,NULL,09SC,159,NULL,08SC1077_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0020,NULL,09SC,Z006E0001,NULL,07FL0309_000b,07FL309,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0021,NULL,09SC,Z006E0059,NULL,07FL0346_000b,07FL346,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0022,NULL,09SC,111,NULL,08SC1022_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0023,NULL,09SC,Z006E0125,NULL,07FL0383_000b,07FL383,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0024,NULL,09SC,Z006E0185,NULL,07FL0420_000b,07FL420,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0025,NULL,09SC,Z006E0128,NULL,07FL0386_000b,07FL386,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0026,NULL,09SC,Z006E0002,NULL,07FL0310_000b,07FL310,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0027,NULL,09SC,17,NULL,08SC1011_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0028,NULL,09SC,Z006E0012,NULL,08FL0017_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0029,NULL,09SC,158,NULL,08SC1047_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0030,NULL,09SC,Z006E0146,NULL,07FL0395_000b,07FL395,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0031,NULL,09SC,160,NULL,08SC1122_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0032,NULL,09SC,Z006E0123,NULL,08FL0029_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0033,NULL,09SC,Z006E0080,NULL,07FL0360_000b,07FL360,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0034,NULL,09SC,Z006E0176,NULL,07FL0416_000b,07FL416,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0035,NULL,09SC,Z006E0072,NULL,07FL0355_000b,07FL355,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0036,NULL,09SC,Z006E0124,NULL,07FL0382_000b,07FL382,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0037,NULL,09SC,Z006E0076,NULL,08FL0023_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0038,NULL,09SC,Z006E0122,NULL,07FL0381_000b,07FL381,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0039,NULL,09SC,Z006E0091,NULL,07FL0367_000b,07FL367,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0040,NULL,09SC,Z006E0113,NULL,07FL0376_000b,07FL376,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0041,NULL,09SC,170,NULL,08SC1040_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0042,NULL,09SC,34,NULL,08SC1063_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0043,NULL,09SC,Z006E0166,NULL,07FL0409_000b,07FL409,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0044,NULL,09SC,Z006E0056,NULL,07FL0343_000b,07FL343,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0045,NULL,09SC,Z006E0134,NULL,08FL0030_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0046,NULL,09SC,Z006E0069,NULL,07FL0354_000b,07FL354,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0047,NULL,09SC,Z006E0147,NULL,07FL0396_000b,07FL396,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0048,NULL,09SC,14,NULL,08SC1070_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0049,NULL,09SC,Z006E0163,NULL,07FL0408_000b,07FL408,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0050,NULL,09SC,Z006E0057,NULL,07FL0344_000b,07FL344,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0051,NULL,09SC,Z006E0026,NULL,07FL0325_000b,07FL325,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0052,NULL,09SC,162,NULL,08SC1104_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0053,NULL,09SC,Z006E0031,NULL,07FL0329_000b,07FL329,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0054,NULL,09SC,68,NULL,08SC1091_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0055,NULL,09SC,Z006E0116,NULL,08FL0027_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0056,NULL,09SC,Z006E0152,NULL,07FL0401_000b,07FL401,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0057,NULL,09SC,161,NULL,08SC1146_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0058,NULL,09SC,107,NULL,08SC1149_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0059,NULL,09SC,Z006E0060,NULL,07FL0347_000b,07FL347,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0060,NULL,09SC,Z006E0028,NULL,07FL0327_000b,07FL327,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
09SC0061,NULL,09SC,Z006E0083,NULL,08FL0024_000b,NULL,2,NULL,NULL,NULL,10,(B73xCML322)S5,NULL,QTL mapping,planted 19/05/09,8
