08SC1128_000b,NULL,08SC1128,08SC,55,NULL,55,sib/self,NULL,NULL,NAM,(B73xCML322)S5_55,NULL,8,NULL,07FL342,NULL,NULL
08SC1131_000b,NULL,08SC1131,08SC,62,NULL,62,sib/self,NULL,NULL,NAM,(B73xCML322)S5_62,NULL,8,NULL,07FL349,NULL,NULL
08SC1135_000b,NULL,08SC1135,08SC,63,NULL,63,sib/self,NULL,NULL,NAM,(B73xCML322)S5_63,NULL,8,NULL,07A4074,NULL,NULL
08SC1136_000b,NULL,08SC1136,08SC,128,NULL,128,sib/self,NULL,NULL,NAM,(B73xCML322)S5_128,NULL,8,NULL,07FL386,NULL,NULL
08SC1140_000b,NULL,08SC1140,08SC,86,NULL,86,sib/self,NULL,NULL,NAM,(B73xCML322)S5_86,NULL,8,NULL,07FL364,NULL,NULL
08SC1143_000b,NULL,08SC1143,08SC,103,NULL,103,sib/self,NULL,NULL,NAM,(B73xCML322)S5_103,NULL,8,NULL,07FL372,NULL,NULL
08SC1144_000b,NULL,08SC1144,08SC,56,NULL,56,sib/self,NULL,NULL,NAM,(B73xCML322)S5_56,NULL,8,NULL,07FL343,NULL,NULL
08SC1145_000b,NULL,08SC1145,08SC,58,NULL,58,sib/self,NULL,NULL,NAM,(B73xCML322)S5_58,NULL,8,NULL,07FL345,NULL,NULL
08SC1146_000b,NULL,08SC1146,08SC,161,NULL,161,sib/self,NULL,NULL,NAM,(B73xCML322)S5_161,NULL,8,NULL,07A5158,NULL,NULL
08SC1147_000b,NULL,08SC1147,08SC,148,NULL,148,sib/self,NULL,NULL,NAM,(B73xCML322)S5_148,NULL,8,NULL,07FL397,NULL,NULL
08SC1148_000b,NULL,08SC1148,08SC,59,NULL,59,sib/self,NULL,NULL,NAM,(B73xCML322)S5_59,NULL,8,NULL,07FL346,NULL,NULL
08SC1149_000b,NULL,08SC1149,08SC,107,NULL,107,sib/self,NULL,NULL,NAM,(B73xCML322)S5_107,NULL,8,NULL,07A2741,NULL,NULL
08SC1150_000b,NULL,08SC1150,08SC,11,NULL,11,sib/self,NULL,NULL,NAM,(B73xCML322)S5_11,NULL,8,NULL,07FL317,NULL,NULL
08SC1152_000b,NULL,08SC1152,08SC,70,NULL,70,sib/self,NULL,NULL,NAM,(B73xCML322)S5_70,NULL,8,NULL,07A5222,NULL,NULL
08SC1153_000b,NULL,08SC1153,08SC,119,NULL,119,sib/self,NULL,NULL,NAM,(B73xCML322)S5_119,NULL,8,NULL,07FL379,NULL,NULL
08SC1154_000b,NULL,08SC1154,08SC,127,NULL,127,sib/self,NULL,NULL,NAM,(B73xCML322)S5_127,NULL,8,NULL,07FL385,NULL,NULL
08SC1157_000b,NULL,08SC1157,08SC,87,NULL,87,sib/self,NULL,NULL,NAM,(B73xCML322)S5_87,NULL,8,NULL,07FL365,NULL,NULL
08SC1159_000b,NULL,08SC1159,08SC,51,NULL,51,sib/self,NULL,NULL,NAM,(B73xCML322)S5_51,NULL,8,NULL,07FL340,NULL,NULL
08SC1160_000b,NULL,08SC1160,08SC,177,NULL,177,sib/self,NULL,NULL,NAM,(B73xCML322)S5_177,NULL,8,NULL,07A1583,NULL,NULL
08SC1162_000b,NULL,08SC1162,08SC,143,NULL,143,sib/self,NULL,NULL,NAM,(B73xCML322)S5_143,NULL,8,NULL,07FL393,NULL,NULL
