1,1,1,No Plant,No Plant,No Plant
196,68255,1,1,NULL,NULL,NULL
197,68256,1,1,NULL,NULL,NULL
198,68257,1,1,NULL,NULL,NULL
199,68258,1,1,NULL,NULL,NULL
200,68259,1,1,NULL,NULL,NULL
201,68260,1,1,NULL,NULL,NULL
202,68261,1,1,NULL,NULL,NULL
203,68262,1,1,NULL,NULL,NULL
204,68263,1,1,NULL,NULL,NULL
205,68264,1,1,NULL,NULL,NULL
206,68265,1,1,NULL,NULL,NULL
207,68266,1,1,NULL,NULL,NULL
208,68267,1,1,NULL,NULL,NULL
209,68268,1,1,NULL,NULL,NULL
210,68269,1,1,NULL,NULL,NULL
211,68270,1,1,NULL,NULL,NULL
212,68271,1,1,NULL,NULL,NULL
213,68272,1,1,NULL,NULL,NULL
214,68273,1,1,NULL,NULL,NULL
215,68274,1,1,NULL,NULL,NULL
216,68275,1,1,NULL,NULL,NULL
217,68276,1,1,NULL,NULL,NULL
218,68277,1,1,NULL,NULL,NULL
219,68278,1,1,NULL,NULL,NULL
220,68279,1,1,NULL,NULL,NULL
221,68280,1,1,NULL,NULL,NULL
222,68281,1,1,NULL,NULL,NULL
223,68282,1,1,NULL,NULL,NULL
224,68283,1,1,NULL,NULL,NULL
225,68284,1,1,NULL,NULL,NULL
226,68285,1,1,NULL,NULL,NULL
227,68286,1,1,NULL,NULL,NULL
228,68287,1,1,NULL,NULL,NULL
229,68288,1,1,NULL,NULL,NULL
230,68289,1,1,NULL,NULL,NULL
231,68290,1,1,NULL,NULL,NULL
232,68291,1,1,NULL,NULL,NULL
233,68292,1,1,NULL,NULL,NULL
234,68293,1,1,NULL,NULL,NULL
235,68294,1,1,NULL,NULL,NULL
236,68295,1,1,NULL,NULL,NULL
237,68296,1,1,NULL,NULL,NULL
238,68297,1,1,NULL,NULL,NULL
239,68298,1,1,NULL,NULL,NULL
240,68299,1,1,NULL,NULL,NULL
241,68300,1,1,NULL,NULL,NULL
242,68301,1,1,NULL,NULL,NULL
243,68302,1,1,NULL,NULL,NULL
244,68303,1,1,NULL,NULL,NULL
245,68304,1,1,NULL,NULL,NULL
246,68305,1,1,NULL,NULL,NULL
247,68306,1,1,NULL,NULL,NULL
248,68307,1,1,NULL,NULL,NULL
249,68308,1,1,NULL,NULL,NULL
250,68309,1,1,NULL,NULL,NULL
251,68310,1,1,NULL,NULL,NULL
252,68311,1,1,NULL,NULL,NULL
253,68312,1,1,NULL,NULL,NULL
254,68313,1,1,NULL,NULL,NULL
255,68314,1,1,NULL,NULL,NULL
256,68315,1,1,NULL,NULL,NULL
257,68316,1,1,NULL,NULL,NULL
258,68317,1,1,NULL,NULL,NULL
259,68318,1,1,NULL,NULL,NULL
260,68319,1,1,NULL,NULL,NULL
261,68320,1,1,NULL,NULL,NULL
262,68321,1,1,NULL,NULL,NULL
263,68322,1,1,NULL,NULL,NULL
264,68323,1,1,NULL,NULL,NULL
265,68324,1,1,NULL,NULL,NULL
266,68325,1,1,NULL,NULL,NULL
267,68326,1,1,NULL,NULL,NULL
268,68327,1,1,NULL,NULL,NULL
269,68328,1,1,NULL,NULL,NULL
270,68329,1,1,NULL,NULL,NULL
271,68330,1,1,NULL,NULL,NULL
272,68331,1,1,NULL,NULL,NULL
273,68332,1,1,NULL,NULL,NULL
274,68333,1,1,NULL,NULL,NULL
275,68334,1,1,NULL,NULL,NULL
276,68335,1,1,NULL,NULL,NULL
277,68336,1,1,NULL,NULL,NULL
278,68337,1,1,NULL,NULL,NULL
279,68338,1,1,NULL,NULL,NULL
280,68339,1,1,NULL,NULL,NULL
281,68340,1,1,NULL,NULL,NULL
282,68341,1,1,NULL,NULL,NULL
283,68342,1,1,NULL,NULL,NULL
284,68343,1,1,NULL,NULL,NULL
285,68344,1,1,NULL,NULL,NULL
286,68345,1,1,NULL,NULL,NULL
287,68346,1,1,NULL,NULL,NULL
288,68347,1,1,NULL,NULL,NULL
289,68348,1,1,NULL,NULL,NULL
290,68349,1,1,NULL,NULL,NULL
291,68350,1,1,NULL,NULL,NULL
292,68351,1,1,NULL,NULL,NULL
293,68352,1,1,NULL,NULL,NULL
294,68353,1,1,NULL,NULL,NULL
295,68354,1,1,NULL,NULL,NULL
296,68355,1,1,NULL,NULL,NULL
297,68356,1,1,NULL,NULL,NULL
298,68357,1,1,NULL,NULL,NULL
299,68358,1,1,NULL,NULL,NULL
300,68359,1,1,NULL,NULL,NULL
301,68360,1,1,NULL,NULL,NULL
302,68361,1,1,NULL,NULL,NULL
303,68362,1,1,NULL,NULL,NULL
304,68363,1,1,NULL,NULL,NULL
305,68364,1,1,NULL,NULL,NULL
306,68365,1,1,NULL,NULL,NULL
307,68366,1,1,NULL,NULL,NULL
308,68367,1,1,NULL,NULL,NULL
309,68368,1,1,NULL,NULL,NULL
310,68369,1,1,NULL,NULL,NULL
311,68370,1,1,NULL,NULL,NULL
312,68371,1,1,NULL,NULL,NULL
313,68372,1,1,NULL,NULL,NULL
314,68373,1,1,NULL,NULL,NULL
315,68374,1,1,NULL,NULL,NULL
316,68375,1,1,NULL,NULL,NULL
317,68376,1,1,NULL,NULL,NULL
318,68377,1,1,NULL,NULL,NULL
319,68378,1,1,NULL,NULL,NULL
320,68379,1,1,NULL,NULL,NULL
321,68380,1,1,NULL,NULL,NULL
322,68381,1,1,NULL,NULL,NULL
323,68382,1,1,NULL,NULL,NULL
324,68383,1,1,NULL,NULL,NULL
325,68384,1,1,NULL,NULL,NULL
326,68385,1,1,NULL,NULL,NULL
327,68386,1,1,NULL,NULL,NULL
328,68387,1,1,NULL,NULL,NULL
329,68388,1,1,NULL,NULL,NULL
330,68389,1,1,NULL,NULL,NULL
