08GC0807_004x,08GC0807_004,08GC0807,08GC08,Pa91,NULL,Pa91 / 1851_1_2_2_04F_03-03E,cross,08GC0804,1851_1_2_2_04F_03-03E,NULL,Pa91/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0807_005x,08GC0807_005,08GC0807,08GC08,Pa91,NULL,Pa91 / 1851_1_2_2_02F_01-07F,cross,08GC0802,1851_1_2_2_02F_01-07F,NULL,Pa91/qEt8.06S11 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_001x,08GC0808_001,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / 1851_1_2_2_04F_03-03E,cross,08GC0804,1851_1_2_2_04F_03-03E,NULL,Pa91Ht1/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_002x,08GC0808_002,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / 1851_1_2_2_02F_01-07F,cross,08GC0802,1851_1_2_2_02F_01-07F,NULL,Pa91Ht1/qEt8.06S11 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_003x,08GC0808_003,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / 1851_1_2_2_06A_06-04A,cross,08GC0805,1851_1_2_2_06A_06-04A,NULL,Pa91Ht1/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_004x,08GC0808_004,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / 1851_1_2_2_06A_06-04A,cross,08GC0805,1851_1_2_2_06A_06-04A,NULL,Pa91Ht1/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_005x,08GC0808_005,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / 1851_1_2_2_06A_06-04A,cross,08GC0805,1851_1_2_2_06A_06-04A,NULL,Pa91Ht1/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0808_006x,08GC0808_006,08GC0808,08GC08,Pa91Ht1,NULL,Pa91Ht1 / Pa91,cross,08GC0807,Pa91,NULL,Pa91Ht1/Pa91 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0809_001x,08GC0809_001,08GC0809,08GC08,Pa91Ht2,NULL,Pa91Ht2 / 1851_1_2_2_04F_03-03E,cross,08GC0804,1851_1_2_2_04F_03-03E,NULL,Pa91Ht2/qEt8.06DK888 F1,NULL,2,NULL,NULL,NULL,NULL
08GC0809_002x,08GC0809_002,08GC0809,08GC08,Pa91Ht2,NULL,Pa91Ht2 / 1851_1_2_2_02F_01-07F,cross,08GC0802,1851_1_2_2_02F_01-07F,NULL,Pa91Ht2/qEt8.06S11 F1,NULL,2,NULL,NULL,NULL,NULL
