07PN0030_010x,07PN0030_010,07PN0030,07PN,07N30.10,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-225,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_011x,07PN0030_011,07PN0030,07PN,07N30.11,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-226,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_012x,07PN0030_012,07PN0030,07PN,07N30.12,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-227,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_014x,07PN0030_014,07PN0030,07PN,07N30.14,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-229,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0030_016x,07PN0030_016,07PN0030,07PN,07N30.16,07N30,NULL,cross,07PN0027_999,B73,NULL,B73/[21-14]-5-231,NULL,3,NULL,P29_Et3 [21-14] S2,NULL,NULL
07PN0031_001b,07PN0031_001,07PN0031,07PN,NULL,07N31,07N31 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0031_001s,07PN0031_001,07PN0031,07PN,07N31,07N31,NULL,sib,07PN0031_001,NULL,NULL,B73,NULL,3,NULL,NULL,NULL,NULL
07PN0031_002b,07PN0031_002,07PN0031,07PN,NULL,07N31,07N31 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0039_001b,07PN0039_001,07PN0039,07PN,NULL,07N39,07N39 sib,sib,NULL,NULL,NULL,B73,NULL,3,NULL,B73 sib increase 2007,NULL,NULL
07PN0040_001s,07PN0040_001,07PN0040,07PN,07N40.01,07N40,NULL,self,07PN0040_001,NULL,NULL,B73/[32-19]-11,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_003s,07PN0040_003,07PN0040,07PN,07N40.03,07N40,NULL,self,07PN0040_003,NULL,NULL,B73/[32-19]-13,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_004s,07PN0040_004,07PN0040,07PN,07N40.04,07N40,NULL,self,07PN0040_004,NULL,NULL,B73/[32-19]-14,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_005s,07PN0040_005,07PN0040,07PN,07N40.05,07N40,NULL,self,07PN0040_005,NULL,NULL,B73/[32-19]-15,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_007s,07PN0040_007,07PN0040,07PN,07N40.07,07N40,NULL,self,07PN0040_007,NULL,NULL,B73/[32-19]-17,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_008s,07PN0040_008,07PN0040,07PN,07N40.08,07N40,NULL,self,07PN0040_008,NULL,NULL,B73/[32-19]-18,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_011s,07PN0040_011,07PN0040,07PN,07N40.11,07N40,NULL,self,07PN0040_011,NULL,NULL,B73/[32-19]-21,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_012s,07PN0040_012,07PN0040,07PN,07N40.12,07N40,NULL,self,07PN0040_012,NULL,NULL,B73/[32-19]-22,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_013s,07PN0040_013,07PN0040,07PN,07N40.13,07N40,NULL,self,07PN0040_013,NULL,NULL,B73/[32-19]-23,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_015s,07PN0040_015,07PN0040,07PN,07N40.15,07N40,NULL,self,07PN0040_015,NULL,NULL,B73/[32-19]-25,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0040_016s,07PN0040_016,07PN0040,07PN,07N40.16,07N40,NULL,self,07PN0040_016,NULL,NULL,B73/[32-19]-26,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0041_001s,07PN0041_001,07PN0041,07PN,07N41.01,07N41,NULL,self,07PN0041_001,NULL,NULL,B73/[32-2]-11,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0041_003s,07PN0041_003,07PN0041,07PN,07N41.03,07N41,NULL,self,07PN0041_003,NULL,NULL,B73/[32-2]-13,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0041_005s,07PN0041_005,07PN0041,07PN,07N41.05,07N41,NULL,self,07PN0041_005,NULL,NULL,B73/[32-2]-15,NULL,3,NULL,P30_Et4 S1,NULL,NULL
07PN0041_007s,07PN0041_007,07PN0041,07PN,07N41.07,07N41,NULL,self,07PN0041_007,NULL,NULL,B73/[32-2]-17,NULL,3,NULL,P30_Et4 S1,NULL,NULL
