09PR0008_003s,09PR0008_003,09PR0008,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0008_004s,09PR0008_004,09PR0008,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0008_005s,09PR0008_005,09PR0008,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_005)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0009_001s,09PR0009_001,09PR0009,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_012)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0009_002s,09PR0009_002,09PR0009,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2009_012)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0010_001s,09PR0010_001,09PR0010,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2011_011)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0010_002s,09PR0010_002,09PR0010,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2011_011)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0010_003s,09PR0010_003,09PR0010,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2011_011)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0011_001s,09PR0011_001,09PR0011,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2012_011)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0011_002s,09PR0011_002,09PR0011,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2012_011)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0012_001s,09PR0012_001,09PR0012,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2016_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0012_002s,09PR0012_002,09PR0012,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2016_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0012_003s,09PR0012_003,09PR0012,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2016_001)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0013_001s,09PR0013_001,09PR0013,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2016_010)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0014_001s,09PR0014_001,09PR0014,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_004)S2,NULL,34,NULL,NULL,NULL,NULL
09PR0014_002s,09PR0014_002,09PR0014,09PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(09TF2017_004)S2,NULL,34,NULL,NULL,NULL,NULL
