11TM0021_001s,11TM0021_001,11TM0021,11TM,NULL,NULL,111GA,self,NULL,NULL,NULL,(11TM0021_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0021_002s,11TM0021_002,11TM0021,11TM,NULL,NULL,111GA,self,NULL,NULL,NULL,(11TM0021_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0021_003s,11TM0021_003,11TM0021,11TM,NULL,NULL,111GA,self,NULL,NULL,NULL,(11TM0021_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0022_002s,11TM0022_002,11TM0022,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0022_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0022_003s,11TM0022_003,11TM0022,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0022_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0022_004s,11TM0022_004,11TM0022,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0022_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0023_001s,11TM0023_001,11TM0023,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0023_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0023_002s,11TM0023_002,11TM0023,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0023_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0023_005s,11TM0023_005,11TM0023,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0023_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0024_001s,11TM0024_001,11TM0024,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0024_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0024_003s,11TM0024_003,11TM0024,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0024_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0025_001s,11TM0025_001,11TM0025,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0025_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0025_002s,11TM0025_002,11TM0025,11TM,NULL,NULL,727G,self,NULL,NULL,NULL,(11TM0025_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0026_001s,11TM0026_001,11TM0026,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0026_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0026_002s,11TM0026_002,11TM0026,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0026_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0026_004s,11TM0026_004,11TM0026,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0026_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0026_005s,11TM0026_005,11TM0026,11TM,NULL,NULL,111G,self,NULL,NULL,NULL,(11TM0026_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_001s,11TM0028_001,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_002s,11TM0028_002,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_003s,11TM0028_003,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_004s,11TM0028_004,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_005s,11TM0028_005,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_005)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0028_006s,11TM0028_006,11TM0028,11TM,NULL,NULL,117E,self,NULL,NULL,NULL,(11TM0028_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0029_001s,11TM0029_001,11TM0029,11TM,NULL,NULL,703K,self,NULL,NULL,NULL,(11TM0029_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0029_006s,11TM0029_006,11TM0029,11TM,NULL,NULL,703K,self,NULL,NULL,NULL,(11TM0029_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0031_002s,11TM0031_002,11TM0031,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0031_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0032_001s,11TM0032_001,11TM0032,11TM,NULL,NULL,B73,self,NULL,NULL,NULL,(11TM0032_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0032_002s,11TM0032_002,11TM0032,11TM,NULL,NULL,B73,self,NULL,NULL,NULL,(11TM0032_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0033_006s,11TM0033_006,11TM0033,11TM,NULL,NULL,703K,self,NULL,NULL,NULL,(11TM0033_006)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0033_008s,11TM0033_008,11TM0033,11TM,NULL,NULL,703K,self,NULL,NULL,NULL,(11TM0033_008)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0034_002s,11TM0034_002,11TM0034,11TM,NULL,NULL,703JA,self,NULL,NULL,NULL,(11TM0034_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0035_001s,11TM0035_001,11TM0035,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0035_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0035_003s,11TM0035_003,11TM0035,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0035_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0035_004s,11TM0035_004,11TM0035,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0035_004)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0035_007s,11TM0035_007,11TM0035,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0035_007)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0035_009s,11TM0035_009,11TM0035,11TM,NULL,NULL,703J,self,NULL,NULL,NULL,(11TM0035_009)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0036_002s,11TM0036_002,11TM0036,11TM,NULL,NULL,B73,self,NULL,NULL,NULL,(11TM0036_002)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0039_001s,11TM0039_001,11TM0039,11TM,NULL,NULL,WRKY1,self,NULL,NULL,NULL,(11TM0039_001)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0039_003s,11TM0039_003,11TM0039,11TM,NULL,NULL,WRKY1,self,NULL,NULL,NULL,(11TM0039_003)S1,NULL,34,NULL,NULL,NULL,NULL
11TM0040_001s,11TM0040_001,11TM0040,11TM,NULL,NULL,Mo17,self,NULL,NULL,NULL,(11TM0040_001)S1,NULL,34,NULL,NULL,NULL,NULL
