08PS1055,NULL,08PS,B73/32-24-10-130,NULL,07FL0243_005s,07FL0243.5,2,138,3,1,12,NULL,NULL,Trial,NULL,0
08PS1056,NULL,08PS,Oh7b,NULL,NULL,07K1245,2,138,3,1,12,NULL,NULL,Check3,NULL,0
08PS1057,NULL,08PS,B73/32-24-10-228,NULL,07FL0230_005s,07FL0230.5,2,137,3,1,12,NULL,NULL,Trial,NULL,0
08PS1058,NULL,08PS,B73/32-24-10-142,NULL,07FL0239_009s,07FL0239.9,2,137,3,1,12,NULL,NULL,Trial,NULL,0
08PS1059,NULL,08PS,B73/32-24-10-111,NULL,07FL0208_008s,07FL0208.8,2,136,3,1,12,NULL,NULL,Trial,NULL,0
08PS1060,NULL,08PS,B73/32-24-10-155,NULL,07FL0240_004s,07FL0240.4,2,136,3,1,12,NULL,NULL,Trial,NULL,0
08PS1061,NULL,08PS,B73/32-24-10-035,NULL,07FL0219_006s,07FL0219.6,2,135,3,1,12,NULL,NULL,Trial,NULL,0
08PS1062,NULL,08PS,B73/32-24-10-181,NULL,07FL0233_005s,07FL0233.5,2,135,3,1,12,NULL,NULL,Trial,NULL,0
08PS1063,NULL,08PS,B73,NULL,NULL,NULL,2,134,3,1,12,NULL,NULL,Check1,NULL,0
08PS1064,NULL,08PS,B73/32-24-10-102,NULL,07FL0207_007s,07FL0207.7,2,134,3,1,12,NULL,NULL,Trial,NULL,0
08PS1065,NULL,08PS,B73/32-24-10-141,NULL,07FL0239_008s,07FL0239.8,2,133,3,1,12,NULL,NULL,Trial,NULL,0
08PS1066,NULL,08PS,B73/32-24-10-089,NULL,07FL0209_001s,07FL0209.1,2,133,3,1,12,NULL,NULL,Trial,NULL,0
08PS1067,NULL,08PS,B73/32-24-10-198,NULL,07FL0231_005s,07FL0231.5,2,132,3,1,12,NULL,NULL,Trial,NULL,0
08PS1068,NULL,08PS,B73/32-24-10-211,NULL,07FL0228_002s,07FL0228.2,2,132,3,1,12,NULL,NULL,Trial,NULL,0
08PS1069,NULL,08PS,B73/32-24-10-045,NULL,07FL0218_004s,07FL0218.4,2,131,3,1,12,NULL,NULL,Trial,NULL,0
08PS1070,NULL,08PS,B73/32-24-10-104,NULL,07FL0208_001s,07FL0208.1,2,131,3,1,12,NULL,NULL,Trial,NULL,0
08PS1071,NULL,08PS,Mo17,NULL,NULL,07K2373,2,130,3,1,12,NULL,NULL,Check2,NULL,0
08PS1072,NULL,08PS,B73/32-24-10-132,NULL,07FL0243_007s,07FL0243.7,2,130,3,1,12,NULL,NULL,Trial,NULL,0
08PS1073,NULL,08PS,Oh7b,NULL,NULL,07K1245,2,129,4,1,12,NULL,NULL,Check3,NULL,0
08PS1074,NULL,08PS,B73/32-24-10-037,NULL,07FL0220_002s,07FL0220.2,2,129,4,1,12,NULL,NULL,Trial,NULL,0
08PS1075,NULL,08PS,B73/32-24-10-238,NULL,07FL0235_006s,07FL0235.6,2,128,4,1,12,NULL,NULL,Trial,NULL,0
08PS1076,NULL,08PS,B73/32-24-10-210,NULL,07FL0228_001s,07FL0228.1,2,128,4,1,12,NULL,NULL,Trial,NULL,0
08PS1077,NULL,08PS,B73,NULL,NULL,NULL,2,127,4,1,12,NULL,NULL,Check1,NULL,0
08PS1078,NULL,08PS,B73/32-24-10-047,NULL,07FL0216_002s,07FL0216.2,2,127,4,1,12,NULL,NULL,Trial,NULL,0
08PS1079,NULL,08PS,B73/32-24-10-017,NULL,07FL0223_006s,07FL0223.6,2,126,4,1,12,NULL,NULL,Trial,NULL,0
08PS1080,NULL,08PS,B73/32-24-10-179,NULL,07FL0233_003s,07FL0233.3,2,126,4,1,12,NULL,NULL,Trial,NULL,0
08PS1081,NULL,08PS,B73/32-24-10-108,NULL,07FL0208_005s,07FL0208.5,2,125,4,1,12,NULL,NULL,Trial,NULL,0
08PS1082,NULL,08PS,B73/32-24-10-157,NULL,07FL0240_006s,07FL0240.6,2,125,4,1,12,NULL,NULL,Trial,NULL,0
08PS1083,NULL,08PS,B73/32-24-10-011,NULL,07FL0222_006s,07FL0222.6,2,124,4,1,12,NULL,NULL,Trial,NULL,0
08PS1084,NULL,08PS,B73/32-24-10-190,NULL,07FL0232_003s,07FL0232.3,2,124,4,1,12,NULL,NULL,Trial,NULL,0
08PS1085,NULL,08PS,B73/32-24-10-219,NULL,07FL0227_002s,07FL0227.2,2,123,4,1,12,NULL,NULL,Trial,NULL,0
08PS1086,NULL,08PS,B73/32-24-10-016,NULL,07FL0223_005s,07FL0223.5,2,123,4,1,12,NULL,NULL,Trial,NULL,0
08PS1087,NULL,08PS,B73/32-24-10-195,NULL,07FL0231_002s,07FL0231.2,2,122,4,1,12,NULL,NULL,Trial,NULL,0
