08SN0119_000b,NULL,08SN0119,08SN,1889_1_6F_02A_008.02,NULL,1889_1_6F_02A_008.02,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.02,NULL,8,NULL,CC07_C_008.02,NULL,NULL
08SN0120_000b,NULL,08SN0120,08SN,1889_1_6F_02A_008.03,NULL,1889_1_6F_02A_008.03,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.03,NULL,8,NULL,CC07_C_008.03,NULL,NULL
08SN0121_000b,NULL,08SN0121,08SN,1889_1_6F_02A_008.04,NULL,1889_1_6F_02A_008.04,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.04,NULL,8,NULL,CC07_C_008.04,NULL,NULL
08SN0122_000b,NULL,08SN0122,08SN,1889_1_6F_02F_004.02,NULL,1889_1_6F_02F_004.02,sib/self,NULL,NULL,NULL,1889_1_6F_02F_004.02,NULL,8,NULL,CC07_C_004.02,NULL,NULL
08SN0123_000b,NULL,08SN0123,08SN,1889_1_6F_03G_005.01,NULL,1889_1_6F_03G_005.01,sib/self,NULL,NULL,NULL,1889_1_6F_03G_005.01,NULL,8,NULL,CC07_C_005.01,NULL,NULL
08SN0124_000b,NULL,08SN0124,08SN,1889_1_6F_04D_009.03,NULL,1889_1_6F_04D_009.03,sib/self,NULL,NULL,NULL,1889_1_6F_04D_009.03,NULL,8,NULL,CC07_C_009.03,NULL,NULL
08SN0125_000b,NULL,08SN0125,08SN,1889_1_6F_04D_072.02,NULL,1889_1_6F_04D_072.02,sib/self,NULL,NULL,NULL,1889_1_6F_04D_072.02,NULL,8,NULL,CC07_C_072.02,NULL,NULL
08SN0126_000b,NULL,08SN0126,08SN,B73,NULL,B73,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,07FL441,NULL,NULL
08SN0201_000b,NULL,08SN0201,08SN,TBBC3-03,NULL,TBBC3-03,sib/self,NULL,NULL,NULL,TBBC3-03,NULL,8,NULL,CC07_T_041,NULL,NULL
08SN0203_000b,NULL,08SN0203,08SN,TBBC3-19,NULL,TBBC3-19,sib/self,NULL,NULL,NULL,TBBC3-19,NULL,8,NULL,CC07_T_008,NULL,NULL
08SN0205_000b,NULL,08SN0205,08SN,TBBC3-06,NULL,TBBC3-06,sib/self,NULL,NULL,NULL,TBBC3-06,NULL,8,NULL,CC06_T_167_2,NULL,NULL
08SN0207_000b,NULL,08SN0207,08SN,TBBC3-52,NULL,TBBC3-52,sib/self,NULL,NULL,NULL,TBBC3-52,NULL,8,NULL,CC06_T_041_3,NULL,NULL
08SN0209_000b,NULL,08SN0209,08SN,TBBC3-77,NULL,TBBC3-77,sib/self,NULL,NULL,NULL,TBBC3-77,NULL,8,NULL,CC07_T_015,NULL,NULL
08SN0212_000b,NULL,08SN0212,08SN,B73,NULL,B73,sib/self,NULL,NULL,NULL,B73,NULL,8,NULL,07FL441,NULL,NULL
08SN0213_000b,NULL,08SN0213,08SN,1889_1_6F_04C_003.01,NULL,1889_1_6F_04C_003.01,sib/self,NULL,NULL,NULL,1889_1_6F_04C_003.01,NULL,8,NULL,CC07_C_003.01,NULL,NULL
08SN0214_000b,NULL,08SN0214,08SN,1889_1_6F_04C_003.02,NULL,1889_1_6F_04C_003.02,sib/self,NULL,NULL,NULL,1889_1_6F_04C_003.02,NULL,8,NULL,CC07_C_003.02,NULL,NULL
08SN0217_000b,NULL,08SN0217,08SN,1889_1_6F_05F_007.01,NULL,1889_1_6F_05F_007.01,sib/self,NULL,NULL,NULL,1889_1_6F_05F_007.01,NULL,8,NULL,CC07_C_007.01,NULL,NULL
08SN0219_000b,NULL,08SN0219,08SN,1889_1_6F_02A_008.02,NULL,1889_1_6F_02A_008.02,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.02,NULL,8,NULL,CC07_C_008.02,NULL,NULL
08SN0220_000b,NULL,08SN0220,08SN,1889_1_6F_02A_008.03,NULL,1889_1_6F_02A_008.03,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.03,NULL,8,NULL,CC07_C_008.03,NULL,NULL
08SN0221_000b,NULL,08SN0221,08SN,1889_1_6F_02A_008.04,NULL,1889_1_6F_02A_008.04,sib/self,NULL,NULL,NULL,1889_1_6F_02A_008.04,NULL,8,NULL,CC07_C_008.04,NULL,NULL
08SN0222_000b,NULL,08SN0222,08SN,1889_1_6F_02F_004.02,NULL,1889_1_6F_02F_004.02,sib/self,NULL,NULL,NULL,1889_1_6F_02F_004.02,NULL,8,NULL,CC07_C_004.02,NULL,NULL
08SN0223_000b,NULL,08SN0223,08SN,1889_1_6F_03G_005.01,NULL,1889_1_6F_03G_005.01,sib/self,NULL,NULL,NULL,1889_1_6F_03G_005.01,NULL,8,NULL,CC07_C_005.01,NULL,NULL
08SN0225_000b,NULL,08SN0225,08SN,1889_1_6F_04D_072.02,NULL,1889_1_6F_04D_072.02,sib/self,NULL,NULL,NULL,1889_1_6F_04D_072.02,NULL,8,NULL,CC07_C_072.02,NULL,NULL
