08K0081,NULL,08K,(B73؃ML228)S5,Z003E0148,NULL,07A5440,1,41,4,NULL,NULL,3,NULL,Trial,range:1 plot:41 orientation:N;,3
08K0082,NULL,08K,(B73؃ML228)S5,Z003E0070,NULL,06A0481,2,41,4,NULL,NULL,3,NULL,Trial,range:1 plot:41 orientation:S;,3
08K0083,NULL,08K,(B73؃ML228)S5,Z003E0069,NULL,06A0532,1,42,4,NULL,NULL,3,NULL,Trial,range:1 plot:42 orientation:N;,3
08K0084,NULL,08K,(B73؃ML228)S5,Z003E0121,NULL,07A4960,2,42,4,NULL,NULL,3,NULL,Trial,range:1 plot:42 orientation:S;,3
08K0085,NULL,08K,CML228,Z003E0202,NULL,JK08-147.1,1,43,4,NULL,NULL,3,NULL,Check,range:1 plot:43 orientation:N;,3
08K0086,NULL,08K,(B73؃ML228)S5,Z003E0105,NULL,07A5537,2,43,4,NULL,NULL,3,NULL,Trial,range:1 plot:43 orientation:S;,3
08K0087,NULL,08K,(B73؃ML228)S5,Z003E0052,NULL,07A2199,1,44,4,NULL,NULL,3,NULL,Trial,range:1 plot:44 orientation:N;,3
08K0088,NULL,08K,(B73؃ML228)S5,Z003E0022,NULL,07A4201,2,44,4,NULL,NULL,3,NULL,Trial,range:1 plot:44 orientation:S;,3
08K0089,NULL,08K,(B73؃ML228)S5,Z003E0036,NULL,07A5067,1,45,5,NULL,NULL,3,NULL,Trial,range:1 plot:45 orientation:N;,3
08K0090,NULL,08K,(B73؃ML228)S5,Z003E0071,NULL,07A4567,2,45,5,NULL,NULL,3,NULL,Trial,range:1 plot:45 orientation:S;,3
08K0091,NULL,08K,(B73؃ML228)S5,Z003E0171,NULL,07A5286,3,45,5,NULL,NULL,3,NULL,Trial,range:2 plot:45 orientation:N;,3
08K0092,NULL,08K,(B73؃ML228)S5,Z003E0076,NULL,07A5810,4,45,5,NULL,NULL,3,NULL,Trial,range:2 plot:45 orientation:S;,3
08K0093,NULL,08K,(B73؃ML228)S5,Z003E0034,NULL,07A3999,3,44,5,NULL,NULL,3,NULL,Trial,range:2 plot:44 orientation:N;,3
08K0094,NULL,08K,(B73؃ML228)S5,Z003E0047,NULL,06A0582,4,44,5,NULL,NULL,3,NULL,Trial,range:2 plot:44 orientation:S;,3
08K0095,NULL,08K,(B73؃ML228)S5,Z003E0010,NULL,07A2216,3,43,5,NULL,NULL,3,NULL,Trial,range:2 plot:43 orientation:N;,3
