6,St0006i,EtNY006,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Emerson Garden, NY",NY,Emerson Garden,USA,9-Sep,corn/leaf,margaret_smith,NULL,A2/ 2004.7.15,M1/ 2004.10.22,NULL,NULL
7,St0007i,EtNY007,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"366 Rd Ithaca, NY",NY,Ithaca,USA,4-Sep,corn/leaf,ying_wei,NULL,A2/ 2005.6.13,NULL,NULL,NULL
8,St0008i,EtNY008,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"367 Rd Ithaca, NY",NY,Ithaca,USA,4-Sep,corn/leaf,ying_wei,NULL,A2/ 2005.6.13,NULL,NULL,NULL
9,St0009i,EtNY009,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Aurora, NY",NY,Aurora,USA,5-Oct-10,corn Mo17/leaf,chialin_chung,NULL,A2/ 2006.04.25,NULL,NULL,NULL
10,St0010i,EtNY010,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Buckler's middle field Aurora, NY",NY,Aurora,USA,6-Sep,corn 06A0892/leaf,judith_kolkman,NULL,A3/ 2007.02.06,NULL,NULL,NULL
11,St0011i,EtNY011,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,"Buckler's middle field Aurora, NY",NY,Aurora,USA,6-Sep,corn 06A0892/leaf,judith_kolkman,NULL,A3/ 2007.02.06,NULL,NULL,NULL
12,St0012i,Et3A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06,NULL,NULL,NULL
13,St0013i,Et28A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06,NULL,NULL,"sequenced isolate, selected diverse isoloates for the QTL study"
14,St0014i,Et45A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06,NULL,NULL,NULL
15,St0015i,Et46B,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a (Et46A),northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06,NULL,NULL,NULL
16,St0016i,Et52B,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06,NULL,NULL,NULL
17,St0017i,Et63A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A4/ 2008.01.28,NULL,NULL,"""DO NOT use it. (When just isolated from infected leaf, Et63A grows much faster than Et86A, but it turns to be all white mycellium when grows from glycerol stock.)"""
18,St0018i,Et86A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A4/ 2008.01.28,NULL,NULL,NULL
19,St0019i,Et10a,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,randall_wisser,A3/ 2007.02.06; A4/ 2007.12.11,NULL,NULL,low growth rate (~1/3)
20,St0020i,Et150A_22505,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A3/ 2007.02.06,NULL,NULL,NULL
21,St0021i,Et100-1A_22505,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 1,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A3/ 2007.02.06; A4/ 2007.12.11,NULL,NULL,A3 (extremely low growth rate); A4 (normal growth rate)
22,St0022i,Et174A_22505,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 1,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,PBK/ 2005.3.21,NULL,NULL,NULL
23,St0023i,Et229A_21705,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 1,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,PBK/ 2005.3.21,NULL,NULL,NULL
24,St0024i,Et127A_22505,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,NULL,NULL,NULL,NULL
25,St0025i,Et152A_21705,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,NULL,NULL,NULL,NULL
77,St0026i,St26A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
78,St0027i,St32A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
79,St0028i,St34A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
80,St0029i,St37A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
81,St0030i,St38B,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
82,St0031i,St39A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
83,St0032i,St40A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type A,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
84,St0033i,St54A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 0,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
85,St0034i,St62A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
86,St0035i,St63A,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),race 23N,Mating type a,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,martin_carson,peter_balintkurti,A4/ 2010.05.11,NULL,NULL,selected diverse isoloates for the QTL study
87,St1001x,St1001x,Setosphaeria turcica,Exserohilum turcicum (Helminthosporium turcicum),NULL,NULL,northern corn leaf blight,NULL,NULL,NULL,NULL,NULL,NULL,chialin_chung,NULL,St1x (1),NULL,NULL,St1x = F1 from StNY001 x St52B
