11BN0041,NULL,11BN,CML228/B73,NULL,10NN0081_001s,NIL-1087,17,141,B,NULL,10,3,NULL,Screen,7/Region: 60-70/B(3:113.05cM),31
11BN0042,NULL,11BN,CML228/B73,NULL,10NN0083_001s,NIL-1102,17,142,B,NULL,10,3,NULL,Screen,1/Region: 20-40/None,31
11BN0043,NULL,11BN,CML228/B73,NULL,10NN0085_001s,NIL-1110,17,143,B,NULL,10,3,NULL,Screen,8/Region: 50-60/B(8: 63.71cM),31
11BN0044,NULL,11BN,CML228/B73,NULL,10NN0087_001s,NIL-1110,17,144,B,NULL,10,3,NULL,Screen,8/Region: 60-70/B(8: 56.12CM) B(8:57.28cM),31
11BN0045,NULL,11BN,CML228/B73,NULL,10NN0089_001s,NIL-1118,17,145,B,NULL,10,3,NULL,Screen,1/Region: 40-60/None,31
11BN0046,NULL,11BN,CML228/B73,NULL,10NN0091_001s,NIL-1128,17,146,B,NULL,10,3,NULL,Screen,7/Region: 110-120/H(l: 47.46cM),31
11BN0047,NULL,11BN,CML228/B73,NULL,10NN0093_001s,NIL-1134,17,147,B,NULL,10,3,NULL,Screen,3/Region: 50-60/H(5: OcM) B(l: 28.57cM) B(l: 24.09cM),31
11BN0048,NULL,11BN,CML228/B73,NULL,10NN0095_001s,NIL-1142,17,148,B,NULL,10,3,NULL,Screen,5/Region: 50-60/H(5: 82.47cM),31
11BN0049,NULL,11BN,CML228/B73,NULL,10NN0097_001s,NIL-1143,17,149,B,NULL,10,3,NULL,Screen,5/Region: 80-90/None,31
11BN0050,NULL,11BN,CML228/B73,NULL,10NN0099_001s,NIL-1179,17,150,B,NULL,10,3,NULL,Screen,6/Region: 80-90/H(10:49.1cM),31
11BN0051,NULL,11BN,CML228/B73,NULL,10NN0101_001s,NIL-1214,17,151,B,NULL,10,3,NULL,Screen,2/Region: 90-100/B(7: 39.47cM),31
11BN0052,NULL,11BN,CML228/B73,NULL,10NN0103_001s,NIL-1215,17,152,B,NULL,10,3,NULL,Screen,7/Region: 30-40/None,31
11BN0053,NULL,11BN,CML228/B73,NULL,10NN0105_001s,NIL-1230,17,153,B,NULL,10,3,NULL,Screen,1/Region: 80-100/B(l: 100.29cM) H(8: OcM),31
