11PR0019_001s,11PR0019_001,11PR0019,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0019_002s,11PR0019_002,11PR0019,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0020_001s,11PR0020_001,11PR0020,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0020_002s,11PR0020_002,11PR0020,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0020_003s,11PR0020_003,11PR0020,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0021_001s,11PR0021_001,11PR0021,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0021_002s,11PR0021_002,11PR0021,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2020_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0022_001s,11PR0022_001,11PR0022,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2030_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0022_002s,11PR0022_002,11PR0022,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2030_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0022_003s,11PR0022_003,11PR0022,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2030_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0023_001s,11PR0023_001,11PR0023,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2030_002s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0024_001s,11PR0024_001,11PR0024,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2035_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0024_002s,11PR0024_002,11PR0024,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2035_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0024_003s,11PR0024_003,11PR0024,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2035_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0024_004s,11PR0024_004,11PR0024,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2035_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0025_001s,11PR0025_001,11PR0025,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2037_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0025_002s,11PR0025_002,11PR0025,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2037_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0026_001s,11PR0026_001,11PR0026,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2037_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0026_002s,11PR0026_002,11PR0026,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2037_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0027_001s,11PR0027_001,11PR0027,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2038_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0027_002s,11PR0027_002,11PR0027,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2038_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0027_003s,11PR0027_003,11PR0027,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2038_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0027_004s,11PR0027_004,11PR0027,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2038_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0027_005s,11PR0027_005,11PR0027,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2038_003s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0028_001s,11PR0028_001,11PR0028,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2039_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0028_002s,11PR0028_002,11PR0028,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2039_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0029_001s,11PR0029_001,11PR0029,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2040_008s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0029_002s,11PR0029_002,11PR0029,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2040_008s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0029_003s,11PR0029_003,11PR0029,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2040_008s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0030_001s,11PR0030_001,11PR0030,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2046_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0030_002s,11PR0030_002,11PR0030,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2046_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0030_003s,11PR0030_003,11PR0030,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2046_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0030_004s,11PR0030_004,11PR0030,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2046_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0031_001s,11PR0031_001,11PR0031,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2063_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0032_001s,11PR0032_001,11PR0032,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2067_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0032_002s,11PR0032_002,11PR0032,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2067_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0033_001s,11PR0033_001,11PR0033,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2068_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0033_002s,11PR0033_002,11PR0033,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2068_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0033_003s,11PR0033_003,11PR0033,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2068_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0034_001s,11PR0034_001,11PR0034,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2070_004s)S2,NULL,34,NULL,NULL,NULL,NULL
