07FL0218,JP015,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,7,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0219,JP016,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,6,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0220,JP017,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,5,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0221,JP018,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,4,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0222,JP019,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,3,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0223,JP020,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,2,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0224,JP021,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,1,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0225,JP022,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,1,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0226,JP023,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,2,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0227,JP024,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,3,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0228,JP025,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,4,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0229,JP026,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,5,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0230,JP027,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,6,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0231,JP028,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,7,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0232,JP029,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,8,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0233,JP030,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,9,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0234,JP031,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,10,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0235,JP032,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,11,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0236,JP033,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,12,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0237,JP034,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,13,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0238,JP035,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,14,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0239,JP036,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,15,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0240,JP037,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,16,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0241,JP038,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,16,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0242,JP039,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,15,15,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0243,JP040,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,16,14,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0244,JP041,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,13,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0245,JP042,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,12,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0246,JP043,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,11,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0247,JP044,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,10,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0248,JP045,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,9,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0249,JP046,07FL,B73//B73/32-24-5-21s,NULL,07PN0010_001s,07N10.01s,16,8,NULL,NULL,12,NULL,NULL,NULL,NULL,0
