07PF0006_005s,07PF0006_005,07PF0006,07PF,07F06.05,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_080,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_006s,07PF0006_006,07PF0006,07PF,07F06.06,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_081,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_007s,07PF0006_007,07PF0006,07PF,07F06.07,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_082,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_009s,07PF0006_009,07PF0006,07PF,07F06.09,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_084,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_010s,07PF0006_010,07PF0006,07PF,07F06.10,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_085,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_011s,07PF0006_011,07PF0006,07PF,07F06.11,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_086,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_001s,07PF0007_001,07PF0007,07PF,07F07.01,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_091,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_004s,07PF0007_004,07PF0007,07PF,07F07.04,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_094,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_006s,07PF0007_006,07PF0007,07PF,07F07.06,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_096,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_007s,07PF0007_007,07PF0007,07PF,07F07.07,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_097,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_008s,07PF0007_008,07PF0007,07PF,07F07.08,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_098,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_010s,07PF0007_010,07PF0007,07PF,07F07.10,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_100,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0007_011s,07PF0007_011,07PF0007,07PF,07F07.11,07F07,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_101,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0008_001s,07PF0008_001,07PF0008,07PF,07F08.01,07F08,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_106,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0008_003s,07PF0008_003,07PF0008,07PF,07F08.03,07F08,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_108,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0008_005s,07PF0008_005,07PF0008,07PF,07F08.05,07F08,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_110,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0008_006s,07PF0008_006,07PF0008,07PF,07F08.06,07F08,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_111,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0008_007s,07PF0008_007,07PF0008,07PF,07F08.07,07F08,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_112,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
