13LW0037,37,13LW,PHN11_LH145_0080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0038,38,13LW,LH145,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0039,39,13LW,B73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0040,40,13LW,OWRI-198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0041,41,13LW,GEMS-0002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0042,42,13LW,OWRI-26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0043,43,13LW,OWRI-201,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0044,44,13LW,Oh43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0045,45,13LW,W64A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0046,46,13LW,OWRI-172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0047,47,13LW,OWRI-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0048,48,13LW,OWRI-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0049,49,13LW,OWRI-114,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0050,50,13LW,OWRI-190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
