"('09PN0479_003s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0479_004s', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0479_005x', 'NULL', 'Jun 27 2011 12:00AM', 'ariel_fialko', '3', 'Row 9', 'NULL', 'NULL')"
"('09PN0480_001s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_002s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_003s', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_005x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_009x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_010x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_011x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_012x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_006x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_007x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0480_008x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
"('09PN0482_005x', 'NULL', 'Apr 20 2010 12:00AM', 'sara_heins', '0', 'Dimmock', 'NULL', 'NULL')"
